region,unit,name,type,phonecode,phonemask
,,Минск,г.,17,"+375(17)###-##-##"
Брестская область,Брестский,Брест,г.,162,"+375(162)##-##-##"
Брестская область,Барановичский,Барановичи,г.,163,"+375(163) ##-##-##"
Брестская область,Пинский,Пинск,г.,165,"+375(165)##-##-##"
Брестская область,Кобринский,Кобрин,г.,1642,"+375(1642)#-##-##"
Брестская область,Берёзовский,Берёза,г.,1643,"+375(1643)#-##-##"
Брестская область,Лунинецкий,Лунинец,г.,1647,"+375(1647)#-##-##"
Брестская область,Ивацевичский,Ивацевичи,г.,1645,"+375(1645)#-##-##"
Брестская область,Пружанский,Пружаны,г.,1632,"+375(1632)#-##-##"
Брестская область,Ганцевичский,Ганцевичи,г.,1646,"+375(1646)#-##-##"
Брестская область,Дрогичинский,Дрогичин,г.,1644,"+375(1644)#-##-##"
Брестская область,Жабинковский,Жабинка,г.,1641,"+375(1641)#-##-##"
Брестская область,Каменецкий,Каменец,г.,1631,"+375(1631)#-##-##"
Брестская область,Малоритский,Малорита,г.,1651,"+375(1651)#-##-##"
Брестская область,Лунинецкий,Микашевичи,г.,1648,"+375(1648)#-##-##"
Брестская область,Столинский,Столин,г.,1655,"+375(1655)#-##-##"
Брестская область,Брестский,Чернавчицы,а.г.,162,"+375(162)##-##-##"
Брестская область,Барановичский,Городище,д.,163,"+375(163)##-##-##"
Брестская область,Пинский,Логишин,г.п.,165,"+375(165)##-##-##"
Брестская область,Березовский,Белоозерск,г.,1643,"+375(1643)#-##-##"
Брестская область,Ляховичский,Ляховичи,г.,1633,"+375(1633)#-##-##"
Брестская область,Ивановский,Иваново,г.,1652,"+375(1652)#-##-##"
Брестская область,Ивановский,Мотоль,а.г.,1643,"+375(1643)#-##-##"
Брестская область,Каменецкий,Высокое,г.,1631,"+375(1631)#-##-##"
Брестская область,Лунинецкий,Боровики,п.,1647,"+375(1647)#-##-##"
Витебская область,Витебский,Витебск,г.,212,"+375(212)##-##-##"
Витебская область,Оршанский,Орша,г.,216,"+375(216)##-##-##"
Витебская область,Полоцкий,Полоцк,г.,214,"+375(214)##-##-##"
